,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
1652,Бесщеточная дрель-шуруповерт Ryobi ONE+ R18DDBL-LL25B 5133002439,13 мм,,60 Нм,,2,Бесщеточный двигатель прослужит до 10 раз дольше,1.7 кг,,,,,50 мм,,,18 В,,,,,Li-Ion,,,,
1653,Дрель-шуруповерт аккумуляторная ARMA с набором аксессуаров ACD-2021,5 мм,,,,,Max крутящий момент : 60 Нм,1.3 кг,,есть,,,10 мм,,,21 В,,,,,Li-Ion,,,,
1654,Аккумуляторная ударная дрель-шуруповерт P.I.T. PSB20H-13B/1,10 мм,,75 Нм,,21,,3.76 кг,,есть,,10 мм,25 мм,15 мм,,20 В,,,,,Li-Ion,,,,
1655,"Аккумуляторный шуруповерт DEWALT DCF850E2T, 18 В, 206.2 Нм, 3800 уд/мин, с 2 АКБ 1.7 Ач и ЗУ, в кейсе TSTAK () DCF850E2T-QW",,,,,,Max крутящий момент : 206.2 Нм,0.95 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1656,Аккумуляторная дрель-шуруповерт Makita DDF484Z,13 мм,,54 Нм,,65,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.5 кг,,нет,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1657,Ударная дрель-шуруповерт Ryobi 18В R18PD3-120TAH 5133005505,13 мм,,,,,Max крутящий момент : 50 Нм,1.3 кг,,есть,,13 мм,38 мм,,,18 В,,,,,Li-Ion,,,,
1658,Аккумуляторная дрель-шуруповерт Ryobi R12SD-L13G 5133002322,7 мм,,25 Нм,,13,Стартовый комплект для начала работ – не надо ничего докупать,2 кг,,есть,,,22 мм,,,12 В,,,,,Li-Ion,,,,
1659,Аккумуляторная дрель-шуруповерт Bosch GSR 185-LI 2 Акб 06019K3000,10 мм,,50 Нм,,17,2 аккумулятора по 2 Ач в комплекте – работа без простоев,,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
1660,Бесщеточная дрель-шуруповерт DEWALT 12 В XR DCD701N-XJ,10 мм,,57.5 Нм,,78,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.15 кг,,нет,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1661,"Аккумуляторная дрель-шуруповерт Bosch EasyDrill 1200, 2 аккумулятора 06039D3007",8 мм,,30 Нм,,18,,0.8 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1662,Ударная дрель-шуруповерт KLPRO 18 В/5.0 Ач 11982 KLDM18-50,10 мм,,,,,Max крутящий момент : 40 Нм,4.9 кг,,есть,,13 мм,38 мм,,,18 В,,,,,Li-Ion,,,,
1663,"Бесщеточный импульсный шуруповерт DEWALT 18 В XR, патрон 6.35 мм (1/4""), Li-Ion батарея POWERSTACK, Multi-voltage з/у, TSTAK DCF850E1T-QW",,,206 Нм,,10,Акцент на надежность: редуктор и ударный механизм целиком выполнены из металла,0.95 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1664,Дрель-шуруповёрт с бесщеточным двигателем Villager VLP 5020-2BSC 072311,,,,,,Max крутящий момент : 45 Нм,,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1665,Аккумуляторный бесщеточный шуруповерт Bosch GSR 12V-35 0.601.9H8.002,10 мм,,35 Нм,,41,,0.75 кг,,есть,,,32 мм,,,12 В,,,,,Li-Ion,,,,
1666,Безударная угловая дрель DEWALT 18.0 В XR DCD740N,10 мм,,33 Нм,,3,Мультиконтактный выключатель для легкого управления даже в неудобном положении,1.3 кг,,нет,,,28 мм,,,18 В,,,,,Li-Ion,,,,
1667,Аккумуляторная дрель-шуруповерт Ryobi RCD12011L 5133001156,10 мм,,25 Нм,,19,Самая компактная дрель Ryobi,1.1 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1668,"Аккумуляторная ударная дрель-шуруповерт Metabo PowerMaxx SB 12 2х2.0, Li-Ion, кейс 601076500",10 мм,,40 Нм,,58,,1.1 кг,,есть,,,18 мм,10 мм,,12 В,,,,,Li-Ion,,,,
1669,"Аккумуляторная дрель-шуруповерт Dewalt 18 В, 2000 об/мин, с 2 АКБ 5 Ач и ЗУ, в кейсе TSTAK DCD800H2T",13 мм,,,,,Max крутящий момент : 90 Нм,1.2 кг,,есть,,,55 мм,,,18 В,,,,,Li-Ion,,,,
1670,Аккумуляторная дрель-шуруповерт Sturm CD3220BL,13 мм,,45 Нм,,47,,2.6 кг,,есть,,,30 мм,,,20 В,,,,,Li-Ion,,,,
1671,Аккумуляторная дрель-шуруповерт Калибр ДА-16 00000070733,10 мм,,28 Нм,,67,"2 скорости, 2 аккумулятора, реверс, доступная цена – идеально для домашних дел",2.4 кг,,есть,,,26 мм,,,16 В,,,,,Li-Ion,,,,
1672,Аккумуляторная дрель-шуруповерт Ryobi ONE+ RCD1802M 5133001170,13 мм,,45 Нм,,62,Поставляется без аккумулятора и зарядного устройства - вы не переплачиваете,1.21 кг,,нет,,,38 мм,,,18 В,,,,,Li-Ion/Ni-Cd,,,,
1673,"Аккумуляторная дрель-шуруповерт DEKO DKCD20FU-Li + набор 195 инструментов для дома, 20 В, 2х2.0 Ач, в кейсе 063-4135",10 мм,,42 Нм,,27,,3.7 кг,,есть,,,28 мм,,,20 В,,,,,Li-Ion,,,,
1674,Аккумуляторная дрель-шуруповерт Makita DDF451RFE,13 мм,,80 Нм,,13,,2.4 кг,,есть,,,65 мм,,,18 В,,,,,Li-Ion,,,,
1675,"Аккумуляторная дрель Metabo PowerMaxx BS BL Q -шпв, бесщеточный 2x2.0Ач, кейс 601749500",10 мм,,,,,Max крутящий момент : 38 Нм,2.18 кг,,есть,,,32 мм,,,12 В,,,,,Li-Ion,,,,
1676,Аккумуляторный винтоверт Hikoki DS18DBL2 DS18DBL2RJZ,13 мм,,136 Нм,,4,,2.5 кг,,есть,,,76 мм,,,18 В,,,,,Li-Ion,,,,
1677,Аккумуляторная ударная дрель-шуруповерт Stanley STDC18LHBK,13 мм,,51.4 Нм,,58,"Промышленный шуруповерт с высоким крутящим моментом 51,4 Нм",1.3 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1678,"Бесщеточный ударный аккумуляторный винтоверт Impact WORX 20 В, 2x2 Ач, ЗУ, кейс WX261",,,230 Нм,,6,,1.5 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1679,Аккумуляторный шуруповерт VMX линейка Энкор VDS-10/12LS VM510007,10 мм,,30 Нм,,7,,1.06 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1680,Дрель-шуруповерт AEG BS14G3LI-153C 4935459628,10 мм,,32 Нм,,7,Надежно: планетарный редуктор с металлическими шестернями,1.2 кг,,есть,,,30 мм,,,14.4 В,,,,,Li-Ion,,,,
1681,Ленточный шуруповерт Bosch GSR 6-45 TE + MA 55 Professional 0.601.445.101,,6 мм,12 Нм,,6,,1.8 кг,3.9 м,,,,,,701 Вт,,,есть,,,,,,,0-4500 об/мин
1682,Аккумуляторная дрель-шуруповерт Bosch GSB 120-LI 06019G8100,10 мм,,30 Нм,,198,,0.9 кг,,есть,,,20 мм,8 мм,,12 В,,,,,Li-Ion,,,,
1683,Шуруповерт Makita FS4000JX2,,6 мм,,,12,,1.3 кг,2.5 м,,,,,,570 Вт,,,есть,,,,,,,0-4000 об/мин
1684,Аккумуляторная дрель-шуруповёрт Alteco CD 0412 CD 1610.1/16V 27170,,,28 Нм,,3,,2.2 кг,,есть,,,,,,16 В,,,,,Li-Ion,,,,
1685,Аккумуляторная дрель-шуруповерт Bosch GSR 18V-60 C 0.601.9G1.102,13 мм,,60 Нм,,15,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.5 кг,,нет,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1686,Импульсный масляный винтоверт Ryobi ONE+ R18QS-0 5133002642,,,45 Нм,,21,Вкручивает более 200 шурупов на одном заряде аккумулятора,1.36 кг,,нет,,,,,,18 В,,,,,Li-Ion/Ni-Cd,,,,
1687,Аккумуляторная дрель-шуруповерт Makita DF457DWEX8,13 мм,,42 Нм,,36,,1.7 кг,,есть,,,36 мм,,,18 В,,,,,Li-Ion,,,,
1688,"Дрель-шуруповерт GOODKING от аккумулятора, 20 В, 30 Нм, 1 АКБ YL-102001",,,,,,Max крутящий момент : 30 Нм,1.3 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1689,Аккумуляторная дрель-шуруповерт Makita XGT BL 40В DF001GZ,20 мм,,140 Нм,,11,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,2.7 кг,,нет,,,76 мм,,,40 В,,,,,Li-Ion,,,,
1690,Аккумуляторная дрель-шуруповерт Makita 18V DDF489Z,13 мм,,73 Нм,,1,,1.8 кг,,нет,,,51 мм,,,18 В,,,,,Li-Ion,,,,
1691,Аккумуляторный шуруповерт MIGHTY SEVEN DS-201,,,203 Нм,,,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.28 кг,,нет,,,,,,12 В,,,,,Li-Ion,,,,
1692,Аккумуляторный импульсный гайковерт Bosch GDR 12V-110 Solo 0.601.9E0.002,,,110 Нм,,18,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,0.9 кг,,нет,,,,,,12 В,,,,,Li-Ion,,,,
1693,"Аккумуляторная дрель-шуруповерт Rokodil Twist 2 Pro (2 АКБ), 18В, 48Нм, 2Ач, 1049921",13 мм,,48 Нм,,16,,1.2 кг,,есть,,,36 мм,,,18 В,,,,,Li-Ion,,,,
1694,"Дрель-шуруповерт GOODKING от аккумулятора, 20 В, 28 Нм, 2 АКБ KL-102002",,,,,,Max крутящий момент : 28 Нм,1.8 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1695,Дрель-шуруповерт Ryobi 18В R18DD3-220TAH 5133005508,13 мм,,,,,Max крутящий момент : 50 Нм,1.3 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1696,Аккумуляторная дрель-шуруповерт AEG BSB14G3LI-202C 4935451532,13 мм,,36 Нм,,35,"Комплектация для выездных работ: 2 аккумулятора, зарядное устройство, кейс",1.3 кг,,есть,,,32 мм,13 мм,,14.4 В,,,,,Li-Ion,,,,
1697,Аккумуляторный ударный гайковерт Metabo SSD 18 LTX 200 BL 602396800,,,200 Нм,,3,,1.4 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1698,Аккумуляторная дрель-шуруповерт Bosch GSR 12V-15 FC 0.601.9F6.000,10 мм,,30 Нм,,89,,0.6 кг,,есть,,,30 мм,,,12 В,,,,,Li-Ion,,,,
1699,Аккумуляторный шуруповерт Энкор ДША-20ЛБ - Б/Щ 2 акк. 2.0 Ач 50028,11 мм,,42 Нм,,4,,1.2 кг,,есть,,,32 мм,,,18 В,,,,,Li-Ion,,,,
1700,Аккумуляторная дрель-шуруповерт Kolner KCD 18/2-2L 8020100472,14 мм,,29 Нм,,154,,1.3 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
1701,Аккумуляторный дрель-шуруповерт PROCRAFT PA18BL,,,45 Нм,,1,,1.2 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1702,Ударный аккумуляторный дрель-шуруповерт SENIX PDHX2-M2-EU,13 мм,,60 Нм,,2,"3 режима работы: закручивание/откручивание, сверление и сверление с ударом",1.22 кг,,,,,38 мм,13 мм,,20 В,,,,,Li-Ion,,,,
1703,Аккумуляторная ударная дрель-шуруповерт Bosch GSB 185-LI 2 Акб 06019K3100,10 мм,,,,,Бесщеточный двигатель для высокой производительности,1.3 кг,,есть,,,35 мм,10 мм,,18 В,,,,,Li-Ion,,,,
1704,Аккумуляторная дрель-шуруповерт AEG BS 12C2 LI-152B 4935448464,10 мм,,34 Нм,,45,"Эргономика: Т-образная конструкция, противоскользящие накладки и подсветка",1.1 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1705,Аккумуляторная дрель-шуруповерт FERM li-Ion 12B CDM1119,6 мм,,20 Нм,,17,,,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1706,Бесщеточная дрель-шуруповерт P.I.T. PID03001-12M2/BL,,,28 Нм,,49,,2.3 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1707,Аккумуляторная дрель шуруповерт + набор насадок Hilti SFD-2 A 3714922,,,24 Нм,,5,Первое поколение – 1 год LTS,1 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1708,Бесщеточная дрель-шуруповерт Ryobi ONE+ R18DDBL-220S 5133003435,13 мм,,60 Нм,,6,Бесщеточный двигатель и электронная муфта E-torque,1.7 кг,,есть,,,50 мм,,,18 В,,,,,Li-Ion,,,,
1709,Импульсный винтоверт Metabo PowerMaxx SSD 12 BL 601115800,,,140 Нм,,7,,1 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1710,Бесщеточная ударная дрель-шуруповерт Ryobi ONE+ R18PDBL-225S 5133003613,13 мм,,60 Нм,,4,Электронная муфта E-torque со светодиодной индикацией и подсветка рабочей зоны,1.3 кг,,есть,,,50 мм,,,18 В,,,,,Li-Ion,,,,
1711,Дрель-шуруповерт Stanley SCD20S2K,13 мм,,45 Нм,,120,Удобный функциональный шуруповерт с отличной эргономикой,1.6 кг,,есть,,,25 мм,,,18 В,,,,,Li-Ion,,,,
1712,Аккумуляторный ударный гайковерт Bosch GDR 18V-200 C 0.601.9G4.104,,,200 Нм,,7,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.1 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1713,Ударная дрель-шуруповерт Dewalt 18 В XR FLEXVOLT ADVANTAGE XRP DCD999NT-XJ,15 мм,,126.9 Нм,,12,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.7 кг,,нет,,13 мм,55 мм,,,18 В,,,,,Li-Ion,,,,
1714,Дрель-шуруповерт Makita XGT BL/XPT DF002GZ,13 мм,,64 Нм,,3,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.6 кг,,нет,,,38 мм,,,40 В,,,,,Li-Ion,,,,
1715,"Аккумуляторная бесщёточная дрель-шуруповерт WORX Switchdriver 2.0 , 50Нм, 20В, 2Ач x1, кейс WX177",13 мм,,50 Нм,,6,,0.82 кг,,есть,,,40 мм,,,20 В,,,,,Li-Ion,,,,
1716,Дрель-шуруповерт Bosch GSB 12V-15 06019B690F,10 мм,,30 Нм,,14,,,,есть,,,19 мм,10 мм,,12 В,,,,,Li-Ion,,,,
1717,"Аккумуляторный бесщеточный винтоверт WORX Impact 20В, бесщеточный, 2Ач x2, кейс WX292",,,175 Нм,,14,,1.44 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1718,Аккумуляторная ударная дрель-шуруповерт MIGHTY SEVEN 18 В DH-101,13 мм,,90 Нм,,,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,2.067 кг,,нет,,,50 мм,,,18 В,,,,,Li-Ion,,,,
1719,Ударная бесщеточная аккумуляторная дрель-шуруповерт P.I.T. PSB20H-10B,10 мм,,38 Нм,,8,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.355 кг,,нет,,10 мм,25 мм,15 мм,,20 В,,,,,Li-Ion,,,,
1720,"Аккумуляторная ударная дрель-шуруповерт Dewalt DCD100YNT, 18 В, 1650 об/мин, 28050 уд/мин, без АКБ и ЗУ, в кейсе TSTAK DCD100YNT-XJ",13 мм,,68 Нм,,1,,1.15 кг,,нет,,13 мм,30 мм,13 мм,,18 В,,,,,Li-Ion,,,,
